suite,experiment,primitive,threads,cs_cycles,trial,ops_per_sec,mean_latency_ns,p50_ns,p95_ns,p99_ns,stddev_ns,cv_percent,throughput_ops,false_sharing_factor,fairness_gini,cpu_migrations,ctx_switches,notes
scalability,scalability,mcs_lock,32,0,8,29799.33,1073842.87,878665.50,2741637.65,5747796.10,1054792.81,98.23,89398,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,32,0,9,35298.00,906564.76,834615.50,2390362.25,5319408.24,1116383.17,123.14,105894,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,16,0,0,1231877.67,12920.63,7310.00,39587.00,67640.01,32910.84,254.72,3695633,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,16,0,1,1242226.67,12802.40,7254.50,39417.00,67044.02,29811.31,232.86,3726680,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,16,0,2,1236645.67,12882.27,7301.00,39397.00,67593.06,30675.79,238.12,3709937,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,16,0,3,1237827.67,12900.27,7086.00,39325.00,67572.00,35806.13,277.56,3713483,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,16,0,4,1236121.00,12885.09,7325.00,39459.00,67617.01,38478.69,298.63,3708363,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,16,0,5,1214397.00,13369.93,6560.00,38273.00,67737.03,100471.25,751.47,3643191,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,16,0,6,1225501.67,12961.35,7014.00,39268.00,67824.03,41272.81,318.43,3676505,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,16,0,7,1233776.67,12917.89,6725.00,38697.05,66619.02,69951.77,541.51,3701330,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,16,0,8,1241852.67,12893.69,7242.50,39276.05,67128.08,35786.97,277.55,3725558,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,16,0,9,1238528.00,12865.02,7192.00,39446.05,67517.07,30786.74,239.31,3715584,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,32,0,0,1232981.33,26536.83,7408.00,87677.00,140651.02,94146.23,354.78,3698944,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,32,0,1,1225497.00,26546.17,7166.00,84680.05,136524.01,133620.73,503.35,3676491,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,32,0,2,1214740.67,26924.61,7542.00,87605.00,144281.07,86266.84,320.40,3644222,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,32,0,3,1268327.67,25807.84,7861.00,87198.00,133891.01,96255.08,372.97,3804983,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,32,0,4,1269005.67,25826.74,7569.00,86075.00,130609.00,120585.07,466.90,3807017,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,32,0,5,1218147.33,27055.90,7469.00,84914.00,139354.01,149398.68,552.19,3654442,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,32,0,6,1287845.67,25316.06,8063.00,87167.05,132940.01,43217.50,170.71,3863537,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,32,0,7,1187799.67,27458.81,6667.00,82339.00,136600.00,176543.73,642.94,3563399,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,32,0,8,1190620.00,27551.94,7208.00,87320.10,145707.03,113959.29,413.62,3571860,0.00,0.00,-1,-1,"pinned"
scalability,scalability,semaphore,32,0,9,1234698.33,26507.67,7602.00,88963.05,143239.01,65036.55,245.35,3704095,0.00,0.00,-1,-1,"pinned"
