suite,experiment,primitive,threads,cs_cycles,trial,ops_per_sec,mean_latency_ns,p50_ns,p95_ns,p99_ns,stddev_ns,cv_percent,throughput_ops,false_sharing_factor,fairness_gini,fairness_jain,fairness_maxmin,fairness_cv,cpu_migrations,ctx_switches,notes
throughput,throughput_saturation,mcs_lock,16,500,6,183481.20,86611.19,0.00,91873.45,297469.01,678147.45,782.98,917406,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,16,500,7,251432.00,63609.57,0.00,65734.00,216056.40,453217.03,712.50,1257160,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,0,0,13101850.20,31.43,0.00,40.00,41.00,47.57,151.35,65509251,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,0,1,13258606.20,30.82,0.00,31.00,40.00,10.71,34.74,66293031,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,0,2,13090565.60,31.31,0.00,40.00,40.00,27.82,88.85,65452828,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,0,3,13213790.40,30.97,0.00,40.00,40.00,11.29,36.44,66068952,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,0,4,13323165.40,30.98,0.00,31.00,40.00,29.72,95.93,66615827,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,0,5,13159661.80,31.03,0.00,40.00,40.00,14.36,46.26,65798309,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,0,6,13180737.80,31.00,0.00,31.00,40.00,15.88,51.21,65903689,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,0,7,13239270.80,30.88,0.00,31.00,40.00,12.89,41.73,66196354,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,0,0,9159766.40,165.56,0.00,341.00,471.00,159.13,96.12,45798832,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,0,1,7611675.80,206.97,0.00,421.00,581.00,544.64,263.15,38058379,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,0,2,7499774.80,211.19,0.00,471.00,601.00,587.04,277.97,37498874,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,0,3,7559063.80,206.74,0.00,410.00,581.00,492.58,238.26,37795319,0.00,0.00,0.00,0.00,0.00,-1,-1,""
